"Title of the product","Description of the product","Price of the product","Condition of the product","Ad Posted Date","Name of the seller"
"3 In 1 Laptop Cleaning Kit Monitor TV PC LED LCD S","Designed For: Computers, Laptops, Mobiles Safe for using on lcd surfaces. Helps restore and maintain brightness and clarity. Non-aerosol cleaner with pleasant fragrance removes fingerprints and smudges without harsh solvent. Ideal for flat panel displays, notebook computers, handheld devices and so on. Soft, lint-free microfiber cloth cleans, dries and polishes for a clear, non-streak finish. Compatible for laptop/lcd display/digital camera pda/smart phone/psp. Specifications of 3 in 1 Laptop Cl","रू. 199","| Brand New","2 years ago","Easy Shop"
"Laptop & Monitor Cleaning Kit","Designed For: Computers, Laptops, Mobiles Safe for using on lcd surfaces. Helps restore and maintain brightness and clarity. Non-aerosol cleaner with pleasant fragrance removes fingerprints and smudges without harsh solvent. Ideal for flat panel displays, notebook computers, handheld devices and so on. Soft, lint-free microfiber cloth cleans, dries and polishes for a clear, non-streak finish. Compatible for laptop/lcd display/digital camera pda/smart phone/psp","रू. 249","| Brand New","8 months ago","USoft Store"
"VGA Monitor Y Splitter, 1 Foot","VGA MIRROR CABLE sends an identical VGA signal to two separate VGA displays; Reliably transmits an identical signal to two separate monitors; VGA cables (sold separately) are required DUPLICATOR VGA Y-SPLITTER CABLE has a male connector that plugs directly into a computer; Two female VGA sockets on the cable connect to the VGA cables of two separate displays VIDEO RESOLUTION SUPPORT for 800×600 (SVGA), 1024×768 (XGA), 1600×1200 (UXGA), and 1080p for high resolution LCD and LED monitors; Audio","रू. 800","| Brand New","5 months ago","Birendra Shrestha"
"CRT Monitor","Used one for cheap price","रू. 800","| Used","12 months ago","Naresh Kumar Shrestha"
"Mini DisplayPort To VGA Monitor Adapter","इलेक्ट्रोनिक्स सामान प्रयोग गर्दा राम्रो क्वालिटी नै प्रयोग गर्नुहोस । सस्तो क्वालिटीको प्रयोग गर्दा विभिन्न खाले समस्या उत्पन्न भई ल्यापटपनै विग्रन सक्छ, बेलैमा बिचार गर्नुहोस। Tech Store नै किन • धेरै सुविधा एउटै store भित्र • आफ्नै Repairing Center • भरपर्दो On Line सुविधा • 1 महिना सम्म Replacement Warranty • कुनै सामानमा प्रब्लम भए वा नचाइएको खण्डमा विना झन्झट Store मै आएर Replace or Cash Return को सुविधा viber/whatapp or call: 9801141865","रू. 1,050","| Brand New","2 years ago","Tech Store"
"VGA 15 Pin (3C+6) Monitor Cable 10Meter To 30Meter","Available in 5 Cable Lengths: Prices: 10Mtr-Rs.1699 15Mtr-Rs.2199 20Mtr-Rs.3499 25Mtr-Rs.4199 30Mtr-Rs.4699 Products Features: Premium HD15 (3C+6) VGA cable. Connect between VGA source to VGA display. Support high resolution up to 1920 x 1080P. Gold-plated, bare copper wire. Made with aluminium foil shielding and ferrite beads, for the protection against EMI, RFI and other interferences. Applicable for all VGA supported devices.","रू. 1,699","| Brand New","2 months ago","PCmag"
"DisplayPort To HDTV Monitor Cable - 3Meter","【DisplayPort to HDMI cable】connects computer to TV for audio and video streaming or to a monitor or projector; plug and play; Please Note: This is Displayport to HDMI cable, don't support HDMI to DP. It is not Bi-directional. 【DP to HDMI cable supports 4Kx2K @30Hz】enjoy home theater with 4K high resolution; 【Audio Video Sync】Display port to HDMI adapter cable transmits high-definition video and audio from your computer to an HDTV for video streaming or gaming; 【Reliable Connectivity】Gold-plated","रू. 1,900","| Brand New","10 months ago","AB Tech"
"Monitor Sale","surry up","रू. 2,000","| Used","1 years ago","Ram Pd Sapkota"
"Call Heart Rate Monitor Sports Smart Watch 2022 (Smart Watch & Bands)","Based on your heart rate, time asleep and restlessness, sleep score helps you better understand your sleep quality each night; also track your time in light, deep and REM sleep stages and get personal insights Control your Spotify app, download Pandora stations and add Deezer playlists (subscription required; Pandora is US only) With a larger display and an always on option, your information’s always a quick glance away (always on display requires more frequent charging) Track heart rate 24x7,","रू. 2,233","| Brand New","1 years ago","Sujan Kumar Shrestha"
"AOC Monitor E970S 18.5 Inch","AOC moniotor 18.5 inch","रू. 2,500","| Like New","3 months ago","C . T . G Computers"
"BenQ G615HDPL 15.6W"" LED Monitor","📱Contact us :- WhatsApp/Viber +9779851027794/ 9813272598 Product Description: Built for viewing work documentation and the Internet, the BenQ G615HDPL features a 15.6W"" LED-backlit glare panel with an ultra-high dynamic contrast ratio of 1,000,000:1 , 16:9 100% dot-to-dot image quality, and BenQ's exclusive Senseye® Technology to offer you the best viewing quality at all times. It's your best value choice that'll keep things lookin great in your home and office!","रू. 2,500","| Like New","1 years ago","Kathmandu Laptop Service (WhatsApp 9851027794)"
"Wireless Camara CCTV - Baby Monitor","WiFi Home Security Wireless CCTV Camera with inbuilt Mic and Night Vision","रू. 3,000","| Like New","8 months ago","Sushmina Manandhar"
"Samsung Monitor Size 17 Inch Lcd","Samsung monitor size 17 inch lcd","रू. 3,000","| Like New","11 months ago","SK Gupta"
